Site,Timestamp,Status,StateDesc
SPS_A2,2017-07-20 09:12:32,1,RUNNING
SPS_A2,2017-07-20 09:16:21,0,STOPPED
SPS_A2,2017-07-20 09:30:35,1,RUNNING
SPS_A2,2017-07-20 09:34:33,0,STOPPED
SPS_A2,2017-07-20 09:48:08,1,RUNNING
SPS_A2,2017-07-20 09:52:21,0,STOPPED
SPS_A2,2017-07-20 10:06:04,1,RUNNING
SPS_A2,2017-07-20 10:10:02,0,STOPPED
SPS_A2,2017-07-20 10:23:28,1,RUNNING
SPS_A2,2017-07-20 10:27:41,0,STOPPED
SPS_A2,2017-07-20 10:40:45,1,RUNNING
SPS_A2,2017-07-20 10:44:58,0,STOPPED
SPS_A2,2017-07-20 10:58:41,1,RUNNING
SPS_A2,2017-07-20 11:02:39,0,STOPPED
SPS_A2,2017-07-20 11:15:26,1,RUNNING
SPS_A2,2017-07-20 11:19:47,0,STOPPED
SPS_A2,2017-07-20 11:32:26,1,RUNNING
SPS_A2,2017-07-20 11:36:47,0,STOPPED
SPS_A2,2017-07-20 11:49:59,1,RUNNING
SPS_A2,2017-07-20 11:54:12,0,STOPPED
SPS_A2,2017-07-20 12:06:52,1,RUNNING
SPS_A2,2017-07-20 12:11:21,0,STOPPED
SPS_A2,2017-07-20 12:24:31,1,RUNNING
SPS_A2,2017-07-20 12:29:01,0,STOPPED
SPS_A2,2017-07-20 12:41:39,1,RUNNING
SPS_A2,2017-07-20 12:46:09,0,STOPPED
SPS_A2,2017-07-20 12:58:17,1,RUNNING
SPS_A2,2017-07-20 13:02:53,0,STOPPED
SPS_A2,2017-07-20 13:14:37,1,RUNNING
SPS_A2,2017-07-20 13:19:22,0,STOPPED
SPS_A2,2017-07-20 13:31:29,1,RUNNING
SPS_A2,2017-07-20 13:36:06,0,STOPPED
SPS_A2,2017-07-20 13:48:22,1,RUNNING
SPS_A2,2017-07-20 13:53:23,0,STOPPED
SPS_A2,2017-07-20 14:05:38,1,RUNNING
SPS_A2,2017-07-20 14:10:31,0,STOPPED
SPS_A2,2017-07-20 14:22:39,1,RUNNING
SPS_A2,2017-07-20 14:27:47,0,STOPPED
SPS_A2,2017-07-20 14:40:11,1,RUNNING
SPS_A2,2017-07-20 14:44:39,0,STOPPED
SPS_A2,2017-07-21 23:19:06,1,RUNNING
SPS_A2,2017-07-21 23:22:23,0,STOPPED
SPS_A2,2017-07-21 23:36:23,1,RUNNING
SPS_A2,2017-07-21 23:39:32,0,STOPPED
SPS_A2,2017-07-21 23:53:08,1,RUNNING
SPS_A2,2017-07-21 23:56:42,0,STOPPED
SPS_A2,2017-07-22 00:10:40,1,RUNNING
SPS_A2,2017-07-22 00:14:22,0,STOPPED
SPS_A2,2017-07-22 00:27:41,1,RUNNING
SPS_A2,2017-07-22 00:31:38,0,STOPPED
SPS_A2,2017-07-22 00:44:18,1,RUNNING
SPS_A2,2017-07-22 00:48:16,0,STOPPED
SPS_A2,2017-07-22 01:01:12,1,RUNNING
SPS_A2,2017-07-22 01:05:16,0,STOPPED
SPS_A2,2017-07-22 01:17:55,1,RUNNING
SPS_A2,2017-07-22 01:22:09,0,STOPPED
SPS_A2,2017-07-22 01:34:55,1,RUNNING
SPS_A2,2017-07-22 01:39:09,0,STOPPED
SPS_A2,2017-07-22 01:51:32,1,RUNNING
SPS_A2,2017-07-22 01:55:45,0,STOPPED
SPS_A2,2017-07-22 02:08:09,1,RUNNING
SPS_A2,2017-07-22 02:12:30,0,STOPPED
SPS_A2,2017-07-22 02:24:45,1,RUNNING
SPS_A2,2017-07-22 02:29:07,0,STOPPED
SPS_A2,2017-07-22 02:41:47,1,RUNNING
SPS_A2,2017-07-22 02:46:01,0,STOPPED
SPS_A2,2017-07-22 02:58:17,1,RUNNING
SPS_A2,2017-07-22 03:02:54,0,STOPPED
SPS_A2,2017-07-22 03:15:02,1,RUNNING
SPS_A2,2017-07-22 03:19:31,0,STOPPED
SPS_A2,2017-07-22 03:31:47,1,RUNNING
SPS_A2,2017-07-22 03:36:31,0,STOPPED
SPS_A2,2017-07-22 03:49:04,1,RUNNING
SPS_A2,2017-07-22 03:53:56,0,STOPPED
SPS_A2,2017-07-22 04:06:21,1,RUNNING
SPS_A2,2017-07-22 04:10:57,0,STOPPED
SPS_A2,2017-07-22 04:23:13,1,RUNNING
SPS_A2,2017-07-22 04:27:57,0,STOPPED
SPS_A2,2017-07-22 04:40:05,1,RUNNING
SPS_A2,2017-07-22 04:44:57,0,STOPPED
SPS_A2,2017-07-22 04:57:28,1,RUNNING
SPS_A2,2017-07-22 05:02:21,0,STOPPED
SPS_A2,2017-07-22 05:14:45,1,RUNNING
SPS_A2,2017-07-22 05:19:30,0,STOPPED
SPS_A2,2017-07-22 05:31:53,1,RUNNING
SPS_A2,2017-07-22 05:36:38,0,STOPPED
SPS_A2,2017-07-22 05:49:02,1,RUNNING
SPS_A2,2017-07-22 05:53:46,0,STOPPED
SPS_A2,2017-07-22 06:06:18,1,RUNNING
SPS_A2,2017-07-22 06:11:03,0,STOPPED
SPS_A2,2017-07-22 06:23:35,1,RUNNING
SPS_A2,2017-07-22 06:26:53,0,STOPPED
SPS_A2,2017-07-22 14:43:11,1,RUNNING
SPS_A2,2017-07-22 14:45:57,0,STOPPED
SPS_A2,2017-07-23 11:09:03,1,RUNNING
SPS_A2,2017-07-23 11:12:52,0,STOPPED
SPS_A2,2017-07-23 11:28:56,1,RUNNING
SPS_A2,2017-07-23 11:33:01,0,STOPPED
SPS_A2,2017-07-23 11:47:40,1,RUNNING
SPS_A2,2017-07-23 11:51:44,0,STOPPED
SPS_A2,2017-07-23 12:06:23,1,RUNNING
SPS_A2,2017-07-23 12:09:48,0,STOPPED
SPS_A2,2017-07-23 18:08:12,1,RUNNING
